pp;couple;partner;condition;leuk;vriendelijk;aardig;aangenaam;fijn;vertrouwen;sympathie;graag;band;gemoed;responsief;invloed;opmerken;bewust;niet_alleen;chameleon;positive_perception;bond;copresence
1;1;1;1;4.958;4.97;4.94;2.855;4.12;5.006;4.982;2.952;4.024;1.054;5.976;1.355;5.024;5.711;5.295;0;21.843000000000004;13.994000000000002;23.361000000000004
2;1;2;1;5.217;3.223;2.377;4.896;4.431;3.037;3.282;4.389;2.682;3.586;5.166;4.575;4.803;3.459;5.369;1;20.144000000000002;14.294;23.372
3;2;2;1;3.983;5.099;4.017;4.566;1.389;4.541;3.577;1.896;1.017;1.0;1.0;1.0;1.0;1.0;1.135;1;19.054;11.014;5.135
4;2;1;1;6.205;6.036;6.012;6.06;6.542;4.675;5.416;4.783;5.639;1.0;4.861;1.0;6.855;7.0;7.0;0;30.854999999999997;15.874000000000002;26.716
5;3;2;1;4.313;6.299;6.18;5.665;6.13;3.577;5.056;2.2;1.524;1.685;6.865;3.949;6.814;7.0;7.0;0;28.587;12.518;31.628
6;3;1;1;6.078;6.494;7.0;6.56;6.084;5.024;5.054;5.988;4.042;1.0;3.952;3.958;5.518;6.006;6.542;0;32.215999999999994;17.066;25.976
7;4;1;1;4.741;4.735;4.157;4.819;3.735;2.301;1.434;2.94;1.916;2.53;1.928;5.0;4.355;5.41;6.59;0;22.186999999999998;9.205;23.283
8;4;2;1;7.0;7.0;7.0;7.0;7.0;6.501;7.0;7.0;7.0;4.051;7.0;4.068;7.0;7.0;7.0;1;35.0;24.552;32.068
9;5;2;1;5.56;6.054;5.554;6.024;6.072;5.048;4.024;5.578;4.536;4.036;6.018;4.036;6.054;6.042;6.078;1;29.264;18.686;28.227999999999998
10;5;1;1;5.792;5.073;5.039;5.8;5.285;4.017;4.659;5.056;4.338;3.468;2.977;3.527;5.225;4.744;7.0;0;26.989;17.2;23.473
11;6;1;1;4.946;4.744;4.101;4.989;5.082;4.963;5.115;4.685;5.048;5.014;6.949;5.927;6.552;7.0;7.0;0;23.862000000000002;19.777;33.428
12;6;2;1;4.5;5.0;5.0;5.042;5.0;3.5;5.0;5.994;5.0;2.0;7.0;4.0;2.0;7.0;7.0;0;24.542;16.494;27.0
13;7;1;1;5.006;6.011;5.006;4.558;4.558;6.011;4.017;4.499;3.011;3.028;4.017;5.014;6.02;6.501;7.0;0;25.139;17.555;28.552
14;7;2;1;5.042;6.078;5.072;4.681;5.036;6.114;3.036;3.506;3.157;1.976;5.102;4.5;7.0;6.223;6.458;1;25.909;14.632;29.283
15;8;1;1;3.839;3.02;4.946;5.048;6.003;3.569;4.22;2.614;1.862;5.901;4.499;3.476;5.031;6.172;5.944;0;22.856;16.304;25.122
16;8;2;1;4.97;5.0;4.982;4.012;5.114;5.958;5.078;5.042;4.066;4.018;5.12;3.964;6.982;6.91;6.958;1;24.078;20.095999999999997;29.933999999999997
17;9;1;1;5.53;6.611;6.07;6.146;6.13;5.031;6.07;6.552;5.597;2.944;4.051;4.0;6.054;1.938;5.039;0;30.487;20.597;21.082
18;9;2;1;4.861;6.5;5.0;5.735;4.669;4.53;5.825;5.169;3.06;3.259;2.789;2.602;5.145;5.53;5.343;0;26.765;18.783;21.409
19;10;1;1;6.079;7.0;7.0;4.456;4.076;4.997;4.473;5.023;4.008;1.938;4.0;5.099;6.054;5.986;6.07;0;28.611;16.430999999999997;27.209
20;10;2;1;4.006;4.036;4.0;5.012;4.506;4.976;5.066;4.024;3.548;3.548;3.56;3.53;6.06;6.06;6.018;1;21.56;17.614;25.227999999999998
21;11;1;1;5.108;2.976;4.012;3.03;3.018;5.048;5.054;1.964;5.048;6.048;1.976;1.904;1.916;7.0;6.048;0;18.144;18.113999999999997;18.844
22;11;2;1;5.006;5.454;5.428;6.003;6.02;6.07;4.955;4.532;5.352;2.445;3.442;4.017;6.07;6.096;6.561;1;27.911;18.002000000000002;26.186
23;12;2;1;4.578;3.548;3.464;3.464;4.41;3.446;3.0;2.44;1.958;3.0;1.994;1.741;1.964;3.422;5.09;0;19.464000000000002;11.886;14.211
24;12;1;1;6.028;5.023;5.039;2.952;2.952;5.065;2.986;6.054;4.025;6.155;1.963;1.955;5.006;5.065;4.008;0;21.993999999999993;20.26;17.997
25;13;2;1;4.789;5.036;5.03;5.036;6.114;4.042;4.024;5.048;3.042;3.904;1.964;2.97;1.946;4.078;6.181;1;26.005;17.018;17.139
26;13;1;1;5.394;6.78;5.141;5.056;4.769;2.115;5.538;1.946;4.008;4.549;5.386;4.051;5.073;6.586;6.442;0;27.14;14.148000000000001;27.538000000000004
27;14;1;1;5.014;6.079;6.527;3.544;5.183;5.031;4.921;2.994;2.327;3.214;5.099;5.031;6.358;7.0;7.0;0;26.347;16.16;30.488
28;14;2;1;3.994;4.018;4.048;4.06;4.102;1.934;2.861;4.398;4.886;4.554;3.434;2.783;3.898;4.012;6.922;1;20.222;13.747;21.049
29;15;1;1;4.0;5.825;4.465;6.223;5.023;5.149;5.183;5.166;3.079;5.606;5.901;2.538;5.656;5.31;5.961;0;25.535999999999998;21.104;25.366
30;15;2;1;3.598;6.082;5.098;5.787;5.566;4.033;5.074;6.582;2.852;5.582;2.992;6.115;6.082;7.0;5.18;0;26.130999999999997;21.271;27.369
31;16;2;1;5.287;4.738;4.918;5.016;5.672;2.951;2.59;2.016;3.057;6.025;5.77;5.689;5.648;5.713;6.148;1;25.631000000000004;13.582;28.968
32;16;1;1;5.065;6.079;5.648;4.042;4.051;5.47;5.006;3.011;3.054;1.642;4.008;1.313;1.634;6.037;6.054;0;24.885000000000005;15.129000000000001;19.046
33;17;1;1;5.986;6.687;6.586;5.623;6.062;5.842;5.91;5.132;3.087;4.921;4.668;2.082;5.394;5.927;6.434;0;30.944000000000003;21.805;24.505
